timestamp,id,rtr,ide,dlc,data
18:08:36.705,380,0,0,8,9C A4 7A 89 B5 6A EF 9D
18:08:36.853,212,0,0,8,57 2C 4B E5 BA 49 1A B6
18:08:37.004,5C8,0,0,8,4A 36 53 18 87 4F E5 2D
18:08:37.153,380,0,0,8,67 FC 13 6F C2 E5 02 25
18:08:37.305,212,0,0,8,B9 12 B8 E3 F2 09 C6 9E
18:08:37.453,5C8,0,0,8,6E 8E EF 88 55 E3 7E 43
18:08:37.603,380,0,0,8,7A 72 4F FA B0 F5 86 EC
18:08:37.753,212,0,0,8,CC A0 44 2D 75 27 51 2A
18:08:37.904,5C8,0,0,8,CD 3F 14 D5 59 6B 6E E9
18:08:38.053,380,0,0,8,9C 71 7E 52 25 AF 58 EF
18:08:38.203,212,0,0,8,3C B8 F8 CE 60 6E 8D D6
18:08:38.355,5C8,0,0,8,B2 5C 8C FD 28 07 36 B7
18:08:38.503,380,0,0,8,BD C4 F0 A2 4F AF 64 B3
18:08:38.656,212,0,0,8,AA 8F 3F E0 8B A4 AC 08
18:08:38.803,5C8,0,0,8,6E D5 75 E4 5B F7 AA 53
18:08:38.955,380,0,0,8,06 E2 A2 72 F3 17 9F 53
18:08:39.105,212,0,0,8,CF 66 67 73 3B E8 4D 1F
18:08:39.253,5C8,0,0,8,4C C4 33 7B C7 1C C2 C0
18:08:39.406,380,0,0,8,8F 1F 5F EA 51 15 97 A1
18:08:39.554,212,0,0,8,3D 46 0E 25 15 82 FB 32
18:08:39.703,5C8,0,0,8,E4 8C 76 08 1A 80 7D C6
18:08:39.855,380,0,0,8,12 47 01 85 4D F6 64 82
18:08:40.003,212,0,0,8,6F 73 64 1C F1 6D 20 DC
18:08:40.155,5C8,0,0,8,C3 B5 8F 9E CA A3 05 04
18:08:40.303,380,0,0,8,AB C4 23 64 15 93 77 4A
18:08:40.456,212,0,0,8,62 ED D9 E7 1B B2 2D 39
18:08:40.603,5C8,0,0,8,EA 2E EB 70 02 A7 25 0E
18:08:40.755,380,0,0,8,76 38 7F 43 25 A6 85 C6
18:08:40.903,212,0,0,8,D9 3F A4 7B 15 4A 7A E4
18:08:41.055,5C8,0,0,8,6D 63 5B 7F 0C 91 C6 A3
18:08:41.204,380,0,0,8,9B 31 BF C5 78 49 A2 3F
18:08:41.353,212,0,0,8,16 72 3C 46 E4 27 1B 8A
18:08:41.503,5C8,0,0,8,60 4B 80 E2 5E 40 02 ED
18:08:41.655,380,0,0,8,24 70 7C 90 34 AF 34 9C
18:08:41.803,212,0,0,8,96 DC AF 10 8B 97 B7 81
18:08:41.954,5C8,0,0,8,C3 5C 8E 94 42 CC 00 48
18:08:42.103,380,0,0,8,9F D8 BA 7C 22 DA 51 73
18:08:42.253,212,0,0,8,31 2F 6E 2C 2F 26 17 6C
18:08:42.406,5C8,0,0,8,18 0C 3B 8D C9 70 AA FF
18:08:42.554,380,0,0,8,6C 03 08 C0 D5 E9 CF AD
18:08:42.703,212,0,0,8,A1 F1 F4 26 13 A8 F5 C2
18:08:42.853,5C8,0,0,8,E7 50 82 A5 7D 28 F8 17
18:08:43.005,380,0,0,8,42 19 32 E8 34 2A F0 0A
18:08:43.153,212,0,0,8,4A 4A 75 F8 5C 17 4C E9
18:08:43.305,5C8,0,0,8,4C 3A 99 68 03 C0 4A F2
18:08:43.453,380,0,0,8,40 55 14 FB D6 20 86 AB
18:08:43.603,212,0,0,8,CE D4 60 6F 4D 76 30 27
18:08:43.755,5C8,0,0,8,52 A0 3A E9 9A D9 27 7A
18:08:43.903,380,0,0,8,98 71 FC 22 6E 21 05 79
18:08:44.054,212,0,0,8,CC CF 6B 48 7D CE E3 8C
18:08:44.205,5C8,0,0,8,C3 86 2D 3E 36 38 4D 1E
18:08:44.353,380,0,0,8,AD C7 BB B5 2A 33 C3 FC
18:08:44.505,212,0,0,8,CA EA 84 39 1C 0D B8 B5
18:08:44.653,5C8,0,0,8,AA 9C A4 30 9A 66 E6 C3
18:08:44.806,380,0,0,8,2D EE 49 70 BE 65 69 07
18:08:44.955,212,0,0,8,2F 8D C5 DE 58 50 FD F9
18:08:45.103,5C8,0,0,8,A2 0E D3 46 AC 67 57 7D
18:08:45.253,380,0,0,8,7E 28 93 4F 90 AB 64 4B
18:08:45.405,212,0,0,8,D1 3E 4D 48 7C E7 EC 5A
18:08:45.553,5C8,0,0,8,CB 88 EF 34 F0 18 F2 B2
18:08:45.704,380,0,0,8,99 D7 E4 43 31 14 C0 AB
18:08:45.855,212,0,0,8,69 A9 AD A3 4E 14 72 62
18:08:46.003,5C8,0,0,8,E6 19 64 62 E6 76 8A F9
18:08:46.155,380,0,0,8,09 DC 05 C3 1D D2 C4 F4
18:08:46.303,212,0,0,8,10 50 3A 3C C8 55 3E AF
18:08:46.456,5C8,0,0,8,FA 5A EF 02 AC E3 B0 D3
18:08:46.603,380,0,0,8,C8 90 F0 E4 61 74 4A 43
18:08:46.753,212,0,0,8,7E EE 6C C2 37 C4 61 DE
18:08:46.906,5C8,0,0,8,8D 12 01 F7 28 29 12 18
18:08:47.054,380,0,0,8,27 BF BD 80 BC 45 8C 48
18:08:47.203,212,0,0,8,B1 25 30 A3 60 D3 89 1E
18:08:47.353,5C8,0,0,8,41 2E 84 7E 9F CC 46 B5
18:08:47.503,380,0,0,8,EA C3 35 AA 40 A9 FA 28
18:08:47.653,212,0,0,8,45 DD D0 E1 21 72 86 94
